edge_id,width,density,average_speed
-4824704#5,3.5,0.0,0.0
-4824704#6,3.5,0.0,0.0
-4824704#7,3.5,0.0,0.0
-4824704#8,3.5,0.0,0.0
-4824704#9,3.5,0.0,0.0
-4824707,3.5,0.0,0.0
-4824708,3.5,0.0,0.0
-4824709,3.5,0.0,0.0
-4824710,3.5,0.0,0.0
-537946542,3.5,0.0,0.0
-537946543,3.5,0.0,0.0
-537946545,3.5,0.0,0.0
-537946547,3.5,0.0,0.0
-537957148,3.5,0.0,0.0
-537957149,3.5,0.0,0.0
-538970944,3.5,0.0,0.0
-538970945,3.5,0.0,0.0
-545223479,3.5,0.0,0.0
-545223481,3.5,0.0,0.0
-564739311,3.5,0.0,0.0
-59851521#0,3.5,0.0,0.0
-59851521#1,3.5,0.0,0.0
-59851521#2,3.5,0.0,0.0
-59851521#3,3.5,0.0,0.0
-59851521#4,3.5,0.0,0.0
-59851521#5,3.5,0.0,0.0
-59851521#6,3.5,0.0,0.0
-59851521#7,3.5,0.0,0.0
-59851743#0,3.5,0.0,0.0
-59851743#1,3.5,0.0,0.0
-671832297#0,3.5,0.0,0.0
-671832297#1,3.5,0.0,0.0
-672385596,3.5,0.0,0.0
-672385599#0,3.5,0.0,0.0
-672385599#1,3.5,0.0,0.0
-672385601#0,3.5,0.0,0.0
-672385601#1,3.5,0.0,0.0
-672385601#2,3.5,0.0,0.0
-672385606,3.5,0.0,0.0
-682283975,3.5,0.0,0.0
-682283977,3.5,0.0,0.0
-682283978,3.5,0.0,0.0
-682283993#0,3.5,0.0,0.0
-682283993#1,3.5,0.0,0.0
-682283993#2,3.5,0.0,0.0
-682283993#3,3.5,0.0,0.0
-682283993#4,3.5,0.0,0.0
-682284020#0,3.5,0.0,0.0
-682284020#1,3.5,0.0,0.0
-682284020#2,3.5,0.0,0.0
-733140772,3.5,0.0,0.0
-773759798,3.5,0.0,0.0
-785300142,3.5,0.0,0.0
-788607084,3.5,0.0,0.0
-788690105,3.5,0.0,0.0
-815241742,3.5,0.0,0.0
-820142590#0,3.5,0.0,0.0
-820142590#1,3.5,0.0,0.0
-820142591,3.5,0.0,0.0
-833822283,3.5,0.0,0.0
-84657872#0,3.5,0.0,0.0
-84657872#1,3.5,0.0,0.0
-84657872#2,3.5,0.0,0.0
-84657872#3,3.5,0.0,0.0
-84657872#4,3.5,0.0,0.0
-850526279,3.5,0.0,0.0
-898538734,3.5,0.0,0.0
-928805373,3.5,0.0,0.0
-928805374#0,3.5,0.0,0.0
-928805374#1,3.5,0.0,0.0
-928805374#2,3.5,0.0,0.0
-928805374#3,3.5,0.0,0.0
-928805374#4,3.5,0.0,0.0
-96136747#0,3.5,0.0,0.0
-96136747#1,3.5,0.0,0.0
-96136748#0,3.5,0.0,0.0
-96136748#1,3.5,0.0,0.0
-967106863,3.5,0.0,0.0
-967106864#0,3.5,0.0,0.0
-967106864#1,3.5,0.0,0.0
-967106865#0,3.5,0.0,0.0
-967106865#1,3.5,0.0,0.0
-967106866,3.5,0.0,0.0
-976108083#0,3.5,0.0,0.0
-976108083#1,3.5,0.0,0.0
-976108083#2,3.5,0.0,0.0
-98637955#0,3.5,0.0,0.0
-98637955#1,3.5,0.0,0.0
-98637955#2,3.5,0.0,0.0
-98637955#3,3.5,0.0,0.0
-98637955#4,3.5,0.0,0.0
-98637955#5,3.5,0.0,0.0
10214830#0,3.5,0.0,0.0
10214830#1,3.5,0.0,0.0
10214830#2,3.5,0.0,0.0
1025757088#0,3.5,0.0,0.0
1025757088#1,3.5,0.0,0.0
1025757089,3.5,0.0,0.0
1025757090#0,3.5,0.0,0.0
1025757090#1,3.5,0.0,0.0
1025757091,3.5,0.0,0.0
1025757092#0,3.5,0.0,0.0
1025757092#1,3.5,0.0,0.0
1025757093#0,3.5,0.0,0.0
1025757093#1,3.5,0.0,0.0
1035375206,3.5,0.0,0.0
1035375207,3.5,0.0,0.0
1047614391,3.5,0.0,0.0
